filename,ecut,nkpts,alat,energy,total_force,cpu_time
Si_50_9_9.5.out,50,35,9.5,-93.39080658,0,3.5
Si_50_9_10.out,50,35,10,-93.44567495,0,3.8
Si_50_9_10.1.out,50,35,10.1,-93.45019141,0,5.3
Si_50_9_10.2.out,50,35,10.2,-93.4529629,0,5.2
Si_50_9_10.22.out,50,35,10.22,-93.45332164,0,5.4
Si_50_9_10.24.out,50,35,10.24,-93.45361827,0,5.4
Si_50_9_10.26.out,50,35,10.26,-93.45385279,0,5.5
Si_50_9_10.28.out,50,35,10.28,-93.4540271,0,5.5
Si_50_9_10.3.out,50,35,10.3,-93.45414364,0,5.5
Si_50_9_10.31.out,50,35,10.31,-93.4541795,0,5.4
Si_50_9_10.32.out,50,35,10.32,-93.45420189,0,5.4
Si_50_9_10.33.out,50,35,10.33,-93.45420912,0,5.4
Si_50_9_10.34.out,50,35,10.34,-93.45420233,0,5.4
Si_50_9_10.35.out,50,35,10.35,-93.45418158,0,5.4
Si_50_9_10.36.out,50,35,10.36,-93.45414696,0,5.4
Si_50_9_10.37.out,50,35,10.37,-93.45409909,0,5.5
Si_50_9_10.38.out,50,35,10.38,-93.45403731,0,5.5
Si_50_9_10.39.out,50,35,10.39,-93.45396145,0,4.6
Si_50_9_10.4.out,50,35,10.4,-93.45387386,0,5.5
Si_50_9_10.42.out,50,35,10.42,-93.45365702,0,4.7
Si_50_9_10.44.out,50,35,10.44,-93.45338991,0,4.6
Si_50_9_10.46.out,50,35,10.46,-93.45307143,0,4.6
Si_50_9_10.48.out,50,35,10.48,-93.45270368,0,4.6
Si_50_9_10.5.out,50,35,10.5,-93.45228713,0,4.6
Si_50_9_10.7.out,50,35,10.7,-93.44566093,0,4.6
Si_50_9_10.75.out,50,35,10.75,-93.44336875,0,4.6